Gene,Non-unique Gene name,Annotation,CAI_ATCC_49725,CAI_ATCC_49726,CAI_BKPL_MKS099,CAI_BKPL_MSK070,CAI_BKPL_MSK091,CAI_BKPL_MSK096,CAI_BKPL_MSK109,CAI_BKPL_MSK121,CAI_BKPL_MSK125,CAI_BKPL_MSK161,CAI_BKPL_MSK270,CAI_BKPL_MSK273,CAI_DS_CA1,CAI_DS_CA2,CAI_DS_CA3,CAI_DS_CA4,CAI_DS_CA5,CAI_DS_CA6,CAI_DS_CA8,CAI_DS_CA9,CAI_KPL_079,CAI_KPL_1818,CAI_KPL_1824,CAI_KPL_1986,CAI_KPL_1996,CAI_KPL_1998,CAI_KPL_2004,CAI_KPL_2617,CAI_KPL_2618,CAI_KPL_2641,CAI_KPL_2652,CAI_KPL_2660,CAI_KPL_2783,CAI_KPL_2859,CAI_KPL_3647,CAI_KPL_3674,CAI_KPL_3703,CAI_KPL_3774,CAI_KPL_3802,CAI_KPL_3832,CAI_KPL_3921,CAI_KPL_3926,CAI_KPL_3970,CAI_KPL_4034,CAI_KPL_4065,CAI_KPL_4075,CAI_KPL_MKS076,CAI_KPL_MSK075,CAI_KPL_MSK077,CAI_LRK_p3_SID1129,CAI_MAM_C779,CAI_MAM_C781,CAI_MAM_C787,CAI_SDB_Cl5570,CAI_SDB_Cl6012,CAI_SH_157,CAI_SH_192,CAI_SH_219,CAI_SH_23,CAI_SH_247,CAI_SH_281,CAI_SH_41,CAI_strain_NCTC934,CAII_SH_79,CAII_SH_98,CAII_DS_CA7,CAII_SDB_CI5886,CAII_SH_184,CAIII_KPL_1855,CAIII_SH_262,CAIV_SDB_Cl5456,CM_strain_06T638,CM_strain_12T220,CM_strain_12T66,CM_strain_14T168,CM_strain_14T424,CM_strain_14T514,CM_strain_14T631,CM_strain_150801,CM_strain_151011,CM_strain_160430,CM_strain_160603,CM_strain_160806,CM_strain_160811,CM_strain_160812,CM_strain_161211,CM_strain_170718,CM_strain_171015,CM_strain_171203,CM_strain_180126,CM_strain_180208,CM_strain_180216,CM_strain_9T245,CM_strain_CCUG_32361,CM_strain_NML_080212,CM_strain_NML_120205
group_3056,,hypothetical protein,BHJAACOI_00567,HKMEEOOC_00564,GENJCMKD_00858,GGNGMLNM_00948,FLPOMCPC_00726,FLNKFIAL_00739,GCMCGMEO_00640,KKDHGCNG_01242,KEENHLLD_01708,JLFNHPIJ_00866,CODCKMBH_01135,KIHHBJFA_01606,NANKJKFF_01216,CCGNCHJI_01169,GOFIAKIM_00908,DGCFMGAJ_00935,AACCAIGM_00638,GMEDNMEP_01162,FLLDPPMF_00575,LNLCNHAK_02057,KNGAMNHF_01551,LKGNFBEP_00986,KICAILHA_00613,MCNPKDLJ_02237,AACNPDCK_00615,GMLEFHEO_00211,KFNCPDAP_00607,IGDBGLLD_00107,OMFMOMKF_00121,HODLAEJM_02124,AFHPBIAF_01563,LHCGKHIJ_00705,AJEFBAEL_01551,OCDCHEMI_01283,CJKJNNNG_00680,EIGELMEO_01117,NGNHBKMG_00610,MEOJENFF_01128,KEGECLGJ_01082,AHOPDIHB_00618,CJININDG_00992,NDOGBOAP_00916,OAPFOPAL_01420,ACJGFGPL_01556,JGGIPLAJ_00686,PLGHJMOG_00567,LJBGMHMC_01156,DKGGAEON_01000,LIONBGAB_01086,BCBJMMFG_01870,FNKBOAAJ_00201,NBIGHBNP_00213,ABCKMHNF_00665,HAGCGINO_01805,HDNBEOBM_01144,CHKDFDKC_00479,FJKFCLGL_00536,BOLJFBOD_00504,KGEDCIMK_00635,OGANKOBH_00530,KHIGLMDP_01585,KCBPFIDL_00972,PGGCOMJD_00474,LDPIAJMB_00498,JHDPCHFA_00494,PGMBCLCL_01033,LEOIACCC_00759,OGHHNOBM_02122,HLJAHNNN_02129,HMAEAGFH_01844,JMBHJBPL_00497,LIOCNLML_01329,MMNKDKJC_02309,CIPIHPAA_00945,OHJNIDKA_00391,IHELPHKG_01835,JBLCIMDH_02166,OFEFOHCO_02068,BJBHHKKH_01563,HCNPNPGF_00971,BHFJFGML_01232;BHFJFGML_01231,CCMCAHCO_01177;CCMCAHCO_00858,MLMKMFAK_01822,FMPCHCOO_01804,KDJAJFCO_01884,OHHPPKJL_02135,BADHAMCG_00556,DDALPCGJ_02087,HHABANBK_01036,IBMNCEGB_00735,OHPNAJOO_00406,CHPLCDPL_01961,EAOLOMHJ_00048,EKOBKANM_00235,DIAOIDPF_00114,IIDBPGJP_00771
ribH,ribH,67-dimethyl-8-ribityllumazine synthase,BHJAACOI_01375,HKMEEOOC_01381,GENJCMKD_01170,GGNGMLNM_00243,FLPOMCPC_01280,FLNKFIAL_01017,GCMCGMEO_01044,KKDHGCNG_01009,KEENHLLD_01173,JLFNHPIJ_00130,CODCKMBH_00115,KIHHBJFA_00477,NANKJKFF_01549,CCGNCHJI_01399,GOFIAKIM_01307,DGCFMGAJ_00038,AACCAIGM_00376,GMEDNMEP_00149,FLLDPPMF_01167,LNLCNHAK_00368,KNGAMNHF_00682,LKGNFBEP_01810,KICAILHA_01462,MCNPKDLJ_00610,AACNPDCK_01439,GMLEFHEO_00969,KFNCPDAP_01480,IGDBGLLD_01454,OMFMOMKF_01243,HODLAEJM_01133,AFHPBIAF_01967,LHCGKHIJ_01361,AJEFBAEL_01240,OCDCHEMI_01549,CJKJNNNG_01448,EIGELMEO_01480,NGNHBKMG_01228,MEOJENFF_00038,KEGECLGJ_01629,AHOPDIHB_01561,CJININDG_01444,NDOGBOAP_01132,OAPFOPAL_00038,ACJGFGPL_01855,JGGIPLAJ_01833,PLGHJMOG_01607,LJBGMHMC_00792,DKGGAEON_00633,LIONBGAB_00786,BCBJMMFG_00038,FNKBOAAJ_00763,NBIGHBNP_00920,ABCKMHNF_00948,HAGCGINO_01745,HDNBEOBM_00143,CHKDFDKC_01305,FJKFCLGL_01351,BOLJFBOD_01311,KGEDCIMK_00987,OGANKOBH_01341,KHIGLMDP_00458,KCBPFIDL_00117,PGGCOMJD_01265,LDPIAJMB_01317,JHDPCHFA_01378,PGMBCLCL_00969,LEOIACCC_01579,OGHHNOBM_00594,HLJAHNNN_00659,HMAEAGFH_00913,JMBHJBPL_00323,LIOCNLML_02351,MMNKDKJC_01669,CIPIHPAA_00403,OHJNIDKA_00193,IHELPHKG_00510,JBLCIMDH_00635,OFEFOHCO_02318,BJBHHKKH_00880,HCNPNPGF_00690,BHFJFGML_01493,CCMCAHCO_01872,MLMKMFAK_01186,FMPCHCOO_00985,KDJAJFCO_01812,OHHPPKJL_01290,BADHAMCG_01294,DDALPCGJ_00173,HHABANBK_01140,IBMNCEGB_00356,OHPNAJOO_00718,CHPLCDPL_00345,EAOLOMHJ_01929,EKOBKANM_00402,DIAOIDPF_00980,IIDBPGJP_00284
hflX,hflX,GTPase HflX,BHJAACOI_01249,HKMEEOOC_01518,GENJCMKD_01296,GGNGMLNM_00371,FLPOMCPC_01153,FLNKFIAL_01143,GCMCGMEO_01173,KKDHGCNG_00879,KEENHLLD_01046,JLFNHPIJ_00258,CODCKMBH_00241,KIHHBJFA_00613,NANKJKFF_00473,CCGNCHJI_00104,GOFIAKIM_00212,DGCFMGAJ_00164,AACCAIGM_00251,GMEDNMEP_00285,FLLDPPMF_00055,LNLCNHAK_00241,KNGAMNHF_00809,LKGNFBEP_01681,KICAILHA_01591,MCNPKDLJ_00739,AACNPDCK_01568,GMLEFHEO_01098,KFNCPDAP_01351,IGDBGLLD_01117,OMFMOMKF_01882,HODLAEJM_00856,AFHPBIAF_00772,LHCGKHIJ_01206,AJEFBAEL_00675,OCDCHEMI_01042,CJKJNNNG_01109,EIGELMEO_01353,NGNHBKMG_00214,MEOJENFF_01553,KEGECLGJ_01265,AHOPDIHB_01173,CJININDG_00819,NDOGBOAP_01470,OAPFOPAL_00563,ACJGFGPL_00712,JGGIPLAJ_01268,PLGHJMOG_01718,LJBGMHMC_00667,DKGGAEON_00507,LIONBGAB_00661,BCBJMMFG_00166,FNKBOAAJ_00635,NBIGHBNP_00794,ABCKMHNF_00413,HAGCGINO_01884,HDNBEOBM_00755,CHKDFDKC_01432,FJKFCLGL_01480,BOLJFBOD_01447,KGEDCIMK_00835,OGANKOBH_01476,KHIGLMDP_00333,KCBPFIDL_02400,PGGCOMJD_01390,LDPIAJMB_01454,JHDPCHFA_01519,PGMBCLCL_00772,LEOIACCC_00235,OGHHNOBM_00733,HLJAHNNN_00510,HMAEAGFH_00479,JMBHJBPL_00191,LIOCNLML_01717,MMNKDKJC_01803,CIPIHPAA_00677,OHJNIDKA_00738,IHELPHKG_01427,JBLCIMDH_00940,OFEFOHCO_01332,BJBHHKKH_00748,HCNPNPGF_02345,BHFJFGML_01626,CCMCAHCO_00919,MLMKMFAK_01318,FMPCHCOO_00792,KDJAJFCO_02168,OHHPPKJL_01423,BADHAMCG_01082,DDALPCGJ_00037,HHABANBK_00490,IBMNCEGB_00547,OHPNAJOO_01462,CHPLCDPL_00210,EAOLOMHJ_00343,EKOBKANM_00541,DIAOIDPF_00370,IIDBPGJP_00150
ipsA,ipsA,HTH-type transcriptional regulator IpsA,BHJAACOI_01656,HKMEEOOC_02069,GENJCMKD_01903,GGNGMLNM_01685,FLPOMCPC_00019,FLNKFIAL_02286,GCMCGMEO_01573,KKDHGCNG_01626,KEENHLLD_01912,JLFNHPIJ_01307,CODCKMBH_02193,KIHHBJFA_01750,NANKJKFF_01386,CCGNCHJI_01115,GOFIAKIM_01136,DGCFMGAJ_02149,AACCAIGM_02062,GMEDNMEP_01398,FLLDPPMF_00728,LNLCNHAK_02318,KNGAMNHF_01336,LKGNFBEP_00065,KICAILHA_02173,MCNPKDLJ_01339,AACNPDCK_02170,GMLEFHEO_02159,KFNCPDAP_02157,IGDBGLLD_00163,OMFMOMKF_01453,HODLAEJM_02166,AFHPBIAF_00404,LHCGKHIJ_02193,AJEFBAEL_01417,OCDCHEMI_02221,CJKJNNNG_01598,EIGELMEO_01845,NGNHBKMG_01486,MEOJENFF_01339,KEGECLGJ_00782,AHOPDIHB_00509,CJININDG_01661,NDOGBOAP_01892,OAPFOPAL_00377,ACJGFGPL_00019,JGGIPLAJ_01697,PLGHJMOG_01185,LJBGMHMC_00013,DKGGAEON_01386,LIONBGAB_00051,BCBJMMFG_00796,FNKBOAAJ_00874,NBIGHBNP_01729,ABCKMHNF_01367,HAGCGINO_01029,HDNBEOBM_00212,CHKDFDKC_01987,FJKFCLGL_02027,BOLJFBOD_02004,KGEDCIMK_01819,OGANKOBH_02037,KHIGLMDP_01005,KCBPFIDL_01833,PGGCOMJD_01922,LDPIAJMB_02033,JHDPCHFA_02146,PGMBCLCL_01623,LEOIACCC_01190,OGHHNOBM_01298,HLJAHNNN_01951,HMAEAGFH_01282,JMBHJBPL_00863,LIOCNLML_01123,MMNKDKJC_00064,CIPIHPAA_02090,OHJNIDKA_01334,IHELPHKG_00996,JBLCIMDH_01757,OFEFOHCO_00750,BJBHHKKH_01228,HCNPNPGF_00379,BHFJFGML_00595,CCMCAHCO_01083,MLMKMFAK_01670,FMPCHCOO_02058,KDJAJFCO_00523,OHHPPKJL_01779,BADHAMCG_00478,DDALPCGJ_00816,HHABANBK_02249,IBMNCEGB_00085,OHPNAJOO_01529,CHPLCDPL_02186,EAOLOMHJ_01266,EKOBKANM_01237,DIAOIDPF_01022,IIDBPGJP_00925
group_3037,,Putative conjugal transfer protein;hypothetical protein,BHJAACOI_00309,HKMEEOOC_00301,GENJCMKD_00598,GGNGMLNM_01759,FLPOMCPC_00128,FLNKFIAL_00043,GCMCGMEO_00066,KKDHGCNG_01746,KEENHLLD_02037,JLFNHPIJ_01855,CODCKMBH_00868,KIHHBJFA_02136,NANKJKFF_02107,CCGNCHJI_02134,GOFIAKIM_02023,DGCFMGAJ_01401,AACCAIGM_01097,GMEDNMEP_02134,FLLDPPMF_01480,LNLCNHAK_01321,KNGAMNHF_00033,LKGNFBEP_00722,KICAILHA_00347,MCNPKDLJ_01955,AACNPDCK_00334,GMLEFHEO_00491,KFNCPDAP_00333,IGDBGLLD_00924,OMFMOMKF_02270,HODLAEJM_01788,AFHPBIAF_02271,LHCGKHIJ_00036,AJEFBAEL_02347,OCDCHEMI_02071,CJKJNNNG_00144,EIGELMEO_00260,NGNHBKMG_02078,MEOJENFF_02032,KEGECLGJ_02215,AHOPDIHB_02090,CJININDG_02240,NDOGBOAP_01830,OAPFOPAL_00915,ACJGFGPL_00939,JGGIPLAJ_00065,PLGHJMOG_02158,LJBGMHMC_01957,DKGGAEON_01263,LIONBGAB_01948,BCBJMMFG_00603,FNKBOAAJ_01950,NBIGHBNP_00469,ABCKMHNF_01676,HAGCGINO_01264,HDNBEOBM_00924,CHKDFDKC_00219,FJKFCLGL_00249,BOLJFBOD_00249,KGEDCIMK_01163,OGANKOBH_00255,KHIGLMDP_01773,KCBPFIDL_01235,PGGCOMJD_00213,LDPIAJMB_00249,JHDPCHFA_00242,PGMBCLCL_01496,LEOIACCC_00485,OGHHNOBM_01846,HLJAHNNN_01596,HMAEAGFH_01186,JMBHJBPL_01691,LIOCNLML_01012,MMNKDKJC_00384,CIPIHPAA_02199,OHJNIDKA_01219,IHELPHKG_00653,JBLCIMDH_01242,OFEFOHCO_01051,BJBHHKKH_00405,HCNPNPGF_01821,BHFJFGML_00878,CCMCAHCO_00726,MLMKMFAK_01559,FMPCHCOO_00168,KDJAJFCO_01376,OHHPPKJL_00494,BADHAMCG_02272,DDALPCGJ_00228,HHABANBK_01750;HHABANBK_01751,IBMNCEGB_01009,OHPNAJOO_02011,CHPLCDPL_00923,EAOLOMHJ_02078,EKOBKANM_00984,DIAOIDPF_00636,IIDBPGJP_00459
group_3031,,hypothetical protein,BHJAACOI_01622,HKMEEOOC_02108,GENJCMKD_01934,GGNGMLNM_01654,FLPOMCPC_01807,FLNKFIAL_01896,GCMCGMEO_01541,KKDHGCNG_01595,KEENHLLD_01881,JLFNHPIJ_01270,CODCKMBH_02010,KIHHBJFA_01787,NANKJKFF_01354,CCGNCHJI_01083,GOFIAKIM_01168,DGCFMGAJ_00986,AACCAIGM_01472,GMEDNMEP_01436,FLLDPPMF_00765,LNLCNHAK_00745,KNGAMNHF_01299,LKGNFBEP_00103,KICAILHA_02211,MCNPKDLJ_01379,AACNPDCK_02210,GMLEFHEO_02199,KFNCPDAP_02197,IGDBGLLD_00194,OMFMOMKF_01490,HODLAEJM_02204,AFHPBIAF_02085,LHCGKHIJ_02162,AJEFBAEL_01448,OCDCHEMI_00238,CJKJNNNG_01636,EIGELMEO_01882,NGNHBKMG_01523,MEOJENFF_01380,KEGECLGJ_00750,AHOPDIHB_01779,CJININDG_01624,NDOGBOAP_01929,OAPFOPAL_00491,ACJGFGPL_01089,JGGIPLAJ_01666,PLGHJMOG_01144,LJBGMHMC_00044,DKGGAEON_01424,LIONBGAB_00020,BCBJMMFG_01974,FNKBOAAJ_00911,NBIGHBNP_01766,ABCKMHNF_01333,HAGCGINO_00460,HDNBEOBM_01004,CHKDFDKC_02023,FJKFCLGL_02065,BOLJFBOD_02041,KGEDCIMK_01783,OGANKOBH_02075,KHIGLMDP_00968,KCBPFIDL_01796,PGGCOMJD_01961,LDPIAJMB_02070,JHDPCHFA_02185,PGMBCLCL_00259,LEOIACCC_00348,OGHHNOBM_01339,HLJAHNNN_01919,HMAEAGFH_01313,JMBHJBPL_00831,LIOCNLML_01097,MMNKDKJC_00090,CIPIHPAA_02116,OHJNIDKA_01308,IHELPHKG_00970,JBLCIMDH_01783,OFEFOHCO_00776,BJBHHKKH_01254,HCNPNPGF_00405,BHFJFGML_00621,CCMCAHCO_01109,MLMKMFAK_01644,FMPCHCOO_02032,KDJAJFCO_00497,OHHPPKJL_01805,BADHAMCG_00452,DDALPCGJ_00789,HHABANBK_02275,IBMNCEGB_00059,OHPNAJOO_01555,CHPLCDPL_02160,EAOLOMHJ_01292,EKOBKANM_01211,DIAOIDPF_00809,IIDBPGJP_00951
group_3028,,hypothetical protein,BHJAACOI_00761,HKMEEOOC_00767,GENJCMKD_02284,GGNGMLNM_00757,FLPOMCPC_00920,FLNKFIAL_00545,GCMCGMEO_00461,KKDHGCNG_01433,KEENHLLD_00075,JLFNHPIJ_01056,CODCKMBH_01326,KIHHBJFA_01408,NANKJKFF_01031,CCGNCHJI_01355,GOFIAKIM_01093,DGCFMGAJ_00742,AACCAIGM_00836,GMEDNMEP_01982,FLLDPPMF_00964,LNLCNHAK_02417,KNGAMNHF_02078,LKGNFBEP_01173,KICAILHA_00816,MCNPKDLJ_02432,AACNPDCK_00810,GMLEFHEO_00015,KFNCPDAP_00802,IGDBGLLD_02089,OMFMOMKF_02066,HODLAEJM_01468,AFHPBIAF_01733,LHCGKHIJ_00511,AJEFBAEL_01087,OCDCHEMI_01480,CJKJNNNG_00490,EIGELMEO_01617,NGNHBKMG_01344,MEOJENFF_00416,KEGECLGJ_00526,AHOPDIHB_02168,CJININDG_00461,NDOGBOAP_00302,OAPFOPAL_00234,ACJGFGPL_01373,JGGIPLAJ_00466,PLGHJMOG_00761,LJBGMHMC_00959,DKGGAEON_00811,LIONBGAB_01282,BCBJMMFG_01536,FNKBOAAJ_00014,NBIGHBNP_00014,ABCKMHNF_01792,HAGCGINO_00750,HDNBEOBM_02405,CHKDFDKC_00676,FJKFCLGL_00725,,KGEDCIMK_00441,OGANKOBH_00719,KHIGLMDP_01089,KCBPFIDL_00766,PGGCOMJD_00663,LDPIAJMB_00700,JHDPCHFA_00759,PGMBCLCL_02152,LEOIACCC_01716,OGHHNOBM_02298,HLJAHNNN_01253,HMAEAGFH_02197,JMBHJBPL_01524,LIOCNLML_01747,MMNKDKJC_00679,CIPIHPAA_00372,OHJNIDKA_02291,IHELPHKG_01258,JBLCIMDH_00300,OFEFOHCO_00028,BJBHHKKH_01939,HCNPNPGF_00128,BHFJFGML_02286,CCMCAHCO_00335,MLMKMFAK_00629,FMPCHCOO_01475,KDJAJFCO_00812,OHHPPKJL_00167,BADHAMCG_00930,DDALPCGJ_00888,HHABANBK_00824,IBMNCEGB_00424,OHPNAJOO_02307,CHPLCDPL_00704,EAOLOMHJ_00634,EKOBKANM_02175,DIAOIDPF_01243,IIDBPGJP_01953
group_3007,,Putative methyltransferase,BHJAACOI_01370,HKMEEOOC_01386,GENJCMKD_01175,GGNGMLNM_00248,FLPOMCPC_01275,FLNKFIAL_01022,GCMCGMEO_01049,KKDHGCNG_01004,KEENHLLD_01168,JLFNHPIJ_00135,CODCKMBH_00120,KIHHBJFA_00482,NANKJKFF_01554,CCGNCHJI_01394,GOFIAKIM_01302,DGCFMGAJ_00043,AACCAIGM_00371,GMEDNMEP_00154,FLLDPPMF_01162,LNLCNHAK_00363,KNGAMNHF_00687,LKGNFBEP_01805,KICAILHA_01467,MCNPKDLJ_00615,AACNPDCK_01444,GMLEFHEO_00974,KFNCPDAP_01475,IGDBGLLD_01459,OMFMOMKF_01238,HODLAEJM_01128,AFHPBIAF_01962,LHCGKHIJ_01356,AJEFBAEL_01245,OCDCHEMI_01544,CJKJNNNG_01453,EIGELMEO_01475,NGNHBKMG_01223,MEOJENFF_00043,KEGECLGJ_01634,AHOPDIHB_01556,CJININDG_01439,NDOGBOAP_01137,OAPFOPAL_00043,ACJGFGPL_01860,JGGIPLAJ_01828,PLGHJMOG_01612,LJBGMHMC_00787,DKGGAEON_00628,LIONBGAB_00781,BCBJMMFG_00043,FNKBOAAJ_00758,NBIGHBNP_00915,ABCKMHNF_00953,HAGCGINO_01750,HDNBEOBM_00138,CHKDFDKC_01310,FJKFCLGL_01356,BOLJFBOD_01316,KGEDCIMK_00982,OGANKOBH_01346,KHIGLMDP_00453,KCBPFIDL_00112,PGGCOMJD_01270,LDPIAJMB_01322,JHDPCHFA_01383,PGMBCLCL_00974,LEOIACCC_01574,OGHHNOBM_00599,HLJAHNNN_00654,HMAEAGFH_00908,JMBHJBPL_00318,LIOCNLML_02356,MMNKDKJC_01674,CIPIHPAA_00398,OHJNIDKA_00198,IHELPHKG_00515,JBLCIMDH_00630,OFEFOHCO_02323,BJBHHKKH_00875,HCNPNPGF_00685,BHFJFGML_01498,CCMCAHCO_01877,MLMKMFAK_01191,FMPCHCOO_00990,KDJAJFCO_01817,OHHPPKJL_01295,BADHAMCG_01289,DDALPCGJ_00168,HHABANBK_01135,IBMNCEGB_00361,OHPNAJOO_00723,CHPLCDPL_00340,EAOLOMHJ_01924,EKOBKANM_00407,DIAOIDPF_00975,IIDBPGJP_00279
group_3002,,hypothetical protein,BHJAACOI_01376,HKMEEOOC_01380,GENJCMKD_01169,GGNGMLNM_00242,FLPOMCPC_01281,FLNKFIAL_01016,GCMCGMEO_01043,KKDHGCNG_01010,KEENHLLD_01174,JLFNHPIJ_00129,CODCKMBH_00114,KIHHBJFA_00476,NANKJKFF_01548,CCGNCHJI_01400,GOFIAKIM_01308,DGCFMGAJ_00037,AACCAIGM_00377,GMEDNMEP_00148,FLLDPPMF_01168,LNLCNHAK_00369,KNGAMNHF_00681,LKGNFBEP_01811,KICAILHA_01461,MCNPKDLJ_00609,AACNPDCK_01438,GMLEFHEO_00968,KFNCPDAP_01481,IGDBGLLD_01453,OMFMOMKF_01244,HODLAEJM_01134,AFHPBIAF_01968,LHCGKHIJ_01362,AJEFBAEL_01239,OCDCHEMI_01550,CJKJNNNG_01447,EIGELMEO_01481,NGNHBKMG_01229,MEOJENFF_00037,KEGECLGJ_01628,AHOPDIHB_01562,CJININDG_01445,NDOGBOAP_01131,OAPFOPAL_00037,ACJGFGPL_01854,JGGIPLAJ_01834,PLGHJMOG_01606,LJBGMHMC_00793,DKGGAEON_00634,LIONBGAB_00787,BCBJMMFG_00037,FNKBOAAJ_00764,NBIGHBNP_00921,ABCKMHNF_00947,HAGCGINO_01744,HDNBEOBM_00144,CHKDFDKC_01304,FJKFCLGL_01350,BOLJFBOD_01310,KGEDCIMK_00988,OGANKOBH_01340,KHIGLMDP_00459,KCBPFIDL_00118,PGGCOMJD_01264,LDPIAJMB_01316,JHDPCHFA_01377,PGMBCLCL_00968,LEOIACCC_01580,OGHHNOBM_00593,HLJAHNNN_00660,HMAEAGFH_00914,JMBHJBPL_00324,LIOCNLML_02350,MMNKDKJC_01668,CIPIHPAA_00404,OHJNIDKA_00192,IHELPHKG_00509,JBLCIMDH_00636,OFEFOHCO_02317,BJBHHKKH_00881,HCNPNPGF_00691,BHFJFGML_01492,CCMCAHCO_01871,MLMKMFAK_01185,FMPCHCOO_00984,KDJAJFCO_01811,OHHPPKJL_01289,BADHAMCG_01295,DDALPCGJ_00174,HHABANBK_01141,IBMNCEGB_00355,OHPNAJOO_00717,CHPLCDPL_00346,EAOLOMHJ_01930,EKOBKANM_00401,DIAOIDPF_00981,IIDBPGJP_00285
guaA,guaA,GMP synthase [glutamine-hydrolyzing],BHJAACOI_00566,HKMEEOOC_00563,GENJCMKD_00857,GGNGMLNM_00949,FLPOMCPC_00725,FLNKFIAL_00740,GCMCGMEO_00639,KKDHGCNG_01241,KEENHLLD_01707,JLFNHPIJ_00865,CODCKMBH_01134,KIHHBJFA_01607,NANKJKFF_01217,CCGNCHJI_01168,GOFIAKIM_00907,DGCFMGAJ_00936,AACCAIGM_00637,GMEDNMEP_01163,FLLDPPMF_00576,LNLCNHAK_02056,KNGAMNHF_01550,LKGNFBEP_00985,KICAILHA_00612,MCNPKDLJ_02236,AACNPDCK_00614,GMLEFHEO_00212,KFNCPDAP_00606,IGDBGLLD_00108,OMFMOMKF_00120,HODLAEJM_02123,AFHPBIAF_01564,LHCGKHIJ_00706,AJEFBAEL_01552,OCDCHEMI_01282,CJKJNNNG_00681,EIGELMEO_01116,NGNHBKMG_00611,MEOJENFF_01129,KEGECLGJ_01083,AHOPDIHB_00619,CJININDG_00993,NDOGBOAP_00915,OAPFOPAL_01419,ACJGFGPL_01557,JGGIPLAJ_00685,PLGHJMOG_00566,LJBGMHMC_01157,DKGGAEON_01001,LIONBGAB_01085,BCBJMMFG_01869,FNKBOAAJ_00202,NBIGHBNP_00214,ABCKMHNF_00666,HAGCGINO_01806,HDNBEOBM_01143,CHKDFDKC_00478,FJKFCLGL_00535,BOLJFBOD_00503,KGEDCIMK_00636,OGANKOBH_00529,KHIGLMDP_01586,KCBPFIDL_00973,PGGCOMJD_00473,LDPIAJMB_00497,JHDPCHFA_00493,PGMBCLCL_01034,LEOIACCC_00758,OGHHNOBM_02121,HLJAHNNN_02130,HMAEAGFH_01843,JMBHJBPL_00498,LIOCNLML_01330,MMNKDKJC_02308,CIPIHPAA_00946,OHJNIDKA_00392,IHELPHKG_01836,JBLCIMDH_02167,OFEFOHCO_02067,BJBHHKKH_01562,HCNPNPGF_00972,BHFJFGML_01233,CCMCAHCO_01178,MLMKMFAK_01821,FMPCHCOO_01803,KDJAJFCO_01885,OHHPPKJL_02134,BADHAMCG_00557,DDALPCGJ_02086,HHABANBK_01035,IBMNCEGB_00736,OHPNAJOO_00405,CHPLCDPL_01962,EAOLOMHJ_00049,EKOBKANM_00236,DIAOIDPF_00115,IIDBPGJP_00772
dinF~~~yeeO,dinF;yeeO;,DNA damage-inducible protein F;putative FMN/FAD exporter YeeO;hypothetical protein,BHJAACOI_01212,HKMEEOOC_01555,GENJCMKD_01622,GGNGMLNM_00408,FLPOMCPC_01116,FLNKFIAL_01180,GCMCGMEO_01210,KKDHGCNG_00842,KEENHLLD_00601,JLFNHPIJ_00295,CODCKMBH_00278,KIHHBJFA_00650,NANKJKFF_00510,CCGNCHJI_00141,GOFIAKIM_00175,DGCFMGAJ_00201,AACCAIGM_00214,GMEDNMEP_00322,FLLDPPMF_00092,LNLCNHAK_00204,KNGAMNHF_00846,LKGNFBEP_01644,KICAILHA_01628,MCNPKDLJ_00776,AACNPDCK_01605,GMLEFHEO_01135,KFNCPDAP_01314,IGDBGLLD_01154,OMFMOMKF_01845,HODLAEJM_00819,AFHPBIAF_00735,LHCGKHIJ_01169,AJEFBAEL_00712,OCDCHEMI_01079,CJKJNNNG_01146,EIGELMEO_01315,NGNHBKMG_00252,MEOJENFF_01590,KEGECLGJ_01302,AHOPDIHB_01210,CJININDG_00782,NDOGBOAP_01507,OAPFOPAL_01822,ACJGFGPL_00749,JGGIPLAJ_01231,PLGHJMOG_01755,LJBGMHMC_00630,DKGGAEON_00470,LIONBGAB_00624,BCBJMMFG_00203,FNKBOAAJ_00598,NBIGHBNP_00757,ABCKMHNF_00376,HAGCGINO_00735,HDNBEOBM_00826,CHKDFDKC_01469,FJKFCLGL_01517,BOLJFBOD_01484,KGEDCIMK_02004,OGANKOBH_01513,KHIGLMDP_00296,KCBPFIDL_02437,PGGCOMJD_01427,LDPIAJMB_01491,JHDPCHFA_01556,PGMBCLCL_00735,LEOIACCC_00568,OGHHNOBM_00770,HLJAHNNN_00473,HMAEAGFH_00442,JMBHJBPL_00154,LIOCNLML_01681,MMNKDKJC_01840,CIPIHPAA_00640,OHJNIDKA_00774,IHELPHKG_01390,JBLCIMDH_00903,OFEFOHCO_01296,BJBHHKKH_00711,HCNPNPGF_02308,BHFJFGML_01662,CCMCAHCO_00955,MLMKMFAK_01354,FMPCHCOO_00828,KDJAJFCO_02205,OHHPPKJL_01459,BADHAMCG_01045,DDALPCGJ_00592,HHABANBK_00527,IBMNCEGB_00510,OHPNAJOO_01426,CHPLCDPL_00175,EAOLOMHJ_00380,EKOBKANM_00577,DIAOIDPF_00915,IIDBPGJP_00114
